clinic_name,specialty,address,lat,lng,phone
一品堂竹北中醫診所,tcm_general,新竹縣竹北市中正東路１４３號１樓、１４５號１至２樓,,,03-5511695
一品堂虎尾中醫診所,tcm_general,雲林縣虎尾鎮信義路３８號、４０號之一樓,,,05-6338336
一品堂豐原中醫診所,tcm_general,臺中市豐原區圓環北路二段１６１號１－３樓及１６３號１－３樓,,,04-25232568
一品堂鹿港中醫診所,tcm_general,彰化縣鹿港鎮永安里中正路４２２號,,,04-7745599
一品牙醫診所,dentistry,基隆市信義區義九路１號,,,02-24237060
一品牙醫診所,dentistry,臺北市南港區昆陽街１０號,,,02-26512628
一品牙醫診所,dentistry,臺南市東區勝利路４９之１號,,,06-2348588
一善中醫診所,tcm_general,臺中市南屯區大墩路７００號１樓、２樓,,,04-23109668
一嘯牙醫診所,dentistry,高雄市鼓山區九如四路１１２１號,,,07-5837050
一嚴堂中醫診所,tcm_general,臺北市大安區羅斯福路３段２８３巷７弄８號,,,02-23688816
一安堂中醫診所,tcm_general,臺南市中西區五妃里南門路１８５－５號１－２樓,,,06-2157579
一安堂外婦產科診所,general_surgery,嘉義縣朴子市中正里山通路１１２號,,,05-3794828
一家人診所,emergency_medicine,桃園市八德區豐德二路２號１樓,,,03-3682212
一家牙醫診所,dentistry,臺北市大安區建國南路２段１５１巷４４號（１樓）,,,02-27030528
一峰牙醫診所,dentistry,臺北市內湖區麗山街３４８巷１１號,,,02-27992316
一弘診所,family_medicine,南投縣埔里鎮西門里中正一路２２號,,,049-2983192
一德牙醫診所,dentistry,宜蘭縣宜蘭市黎明３路１段４２號,,,03-9381100
一德牙醫診所,dentistry,臺南市南區大林里大同路二段４７４號,,,06-2152827
一德身心診所,psychiatry,桃園市桃園區同德十一街１３８號１樓,,,03-3583115
一心中醫診所,tcm_general,臺中市東區一心街４０２號１樓,,,04-22131390
一心中醫診所,tcm_general,臺南市北區延平里公園路６８４號,,,06-2522729
一心堂中醫診所,tcm_general,南投縣南投市復興路２５７號,,,049-2221936
一心堂中醫診所,tcm_general,臺東縣台東市山西路一段２４７號,,,089-328360
一心堂中醫診所,tcm_general,高雄市橋頭區新興路２３號１樓,,,07-6113600
一心牙醫診所,dentistry,宜蘭縣羅東鎮維揚路７１號１樓,,,03-9617887
一心牙醫診所,dentistry,彰化縣彰化市平和里崙平南路３２２號,,,04-7617760
一心牙醫診所,dentistry,新北市板橋區自由路２２號（１樓）、２２－１號（２樓）,,,02-82581701
一心牙醫診所,dentistry,臺北市文山區忠順街２段２１之２號,,,02-22345151
一心牙醫診所,dentistry,花蓮縣花蓮市新港街３９號,,,03-8327914
一心牙醫診所,dentistry,金門縣金城鎮環島西路１段１０１號,,,082-320777
一心牙醫診所,dentistry,高雄市前鎮區盛豐里林森三路９９號,,,07-3338918
一念中醫診所,tcm_general,臺中市北屯區軍福七路７０之２號１樓,,,04-24364783
一成牙醫診所,dentistry,新北市中和區中和路６７號１樓,,,02-22498983
一成牙醫診所,dentistry,臺南市北區北安路一段１９１號１－３樓,,,06-2511188
一成牙醫診所,dentistry,高雄市苓雅區三多二路２３８號,,,07-7231575
一新堂中醫診所,tcm_general,宜蘭縣宜蘭市公園路４５３及４５３之１號１、２樓,,,03-9365800
一新診所,general_clinic,屏東縣麟洛鄉麟蹄村中山路２５６－２號１樓,,,08-7212237
一日尊榮牙醫診所,dentistry,基隆市仁愛區仁一路２０９號１至３樓,,,02-24260111
一日玩美牙醫診所,dentistry,臺南市北區元寶里開元路４８５巷１５號１樓及夾層,,,06-2081001
一日誠臻牙醫診所,dentistry,新北市永和區竹林路４３號１樓,,,02-89282299
一明中醫診所,tcm_general,臺南市永康區埔園里自強路７２０號１、２樓,,,06-2017069
一春堂中醫診所,tcm_general,臺北市士林區德行東路１８７－１號,,,02-28321239
一時中醫診所,tcm_general,新北市新莊區昌隆街１５號１樓,,,02-22771314
一杏牙醫診所,dentistry,臺北市信義區信義路６段１１號,,,02-27271230
一森渼診所,general_clinic,臺北市松山區光復北路１１２號２樓,,,02-25771314
一森診所,neurology,臺北市士林區中山北路５段４７６號１樓,,,02-28836897
一正中醫診所,tcm_general,彰化縣彰化市興北里長壽街１９８號１樓,,,04-7289642
一民診所,family_medicine,臺中市東勢區三民街４８號１樓,,,04-25875170
一生中醫診所,tcm_general,宜蘭縣羅東鎮光榮路３２８號,,,03-9603753
一生中醫診所,tcm_general,雲林縣斗六市仁愛里平和街７９號,,,05-5325603
一生緣中醫診所,tcm_general,屏東縣潮州鎮北門路１７５號,,,08-7808822
一生診所,general_clinic,新北市新莊區中平里中平路３０４號１樓,,,02-29917660
一盧診所,general_clinic,新北市三峽區民生街７９號１樓,,,02-26743217
一聖堂中醫診所,tcm_general,臺北市大同區民生西路１５４號,,,02-25566096
一苼堂中醫診所,tcm_general,高雄市苓雅區光華一路３３號１樓,,,07-3386919
一草中醫診所,tcm_general,新北市新莊區大觀街４６－１號１樓,,,02-29966963
一誠堂中醫診所,tcm_general,臺中市大雅區民生路一段７３，７５號,,,04-25683701
一誠診所,general_clinic,高雄市苓雅區建國一路１１５號之５,,,07-7511156
一貫堂中醫診所,tcm_general,臺中市北屯區豐樂路１１之１號１樓、２樓,,,04-24222663
一麟中醫診所,tcm_general,高雄市旗山區延平一路１４５號,,,07-6627516
丁大元診所,pediatrics,臺北市內湖區東湖路１１９巷４９弄４號１樓,,,02-26331010
丁婦產科診所,obstetrics_gynecology,新北市三重區自強路１段２４６號１－４樓,,,02-29858001
丁慶雄耳鼻喉科診所,otolaryngology,臺南市東區裕農路６１３號１樓,,,06-2371000
丁效曾整形外科診所,plastic_surgery,嘉義市東區中山路２２９號、２３１號１、２樓,,,05-2222188
丁江龍診所,family_medicine,臺南市新化區中山路１５０號,,,06-5903419
丁牙醫診所,dentistry,臺中市北屯區東山路１段１４３之２號１樓,,,04-24368192
丁牙醫診所,dentistry,雲林縣虎尾鎮中山里仁愛路７３號,,,05-6328256
丁眼科診所,ophthalmology,新竹市北區福林里武陵路２２號１樓,,,03-5439913
丁維漢婦產科診所,obstetrics_gynecology,臺南市永康區永康里中山北路９９號,,,06-2020078
丁良文內科診所,internal_medicine,新北市蘆洲區長安街３０號及３２號１樓,,,02-82822809
丁郁仁傳統中醫診所,tcm_general,高雄市鳳山區文衡里青年路二段２６９號１樓,,,07-7803333
丁鴻志婦產科診所,obstetrics_gynecology,臺中市西區臺灣大道２段１８１號３樓,,,04-23207082
七佳診所,general_clinic,屏東縣春日鄉七佳村自強一路１號,,,08-8792093
七堵杞子中醫診所,tcm_general,基隆市七堵區南興路１１２號１樓,,,02-24561196
七巷牙醫診所,dentistry,臺中市龍井區新興路７巷５號１樓,,,04-26337733
七股微笑牙醫診所,dentistry,臺南市七股區大埕里大埕３６５號１樓,,,06-7872121
七賢光復診所,neurosurgery,高雄市鳳山區光復路１２１號１－２樓,,,07-7905490
七賢脊椎外科醫院,internal_medicine,高雄市新興區七賢一路４２０號Ｂ１－８樓,,,07-2385878
七賢高美泌尿科診所,urology,高雄市新興區七賢二路７１號,,,07-2869096
七采牙醫診所,dentistry,新北市汐止區大同路２段３８０、３８２號１樓,,,02-86910777
三上牙醫診所,dentistry,臺中市北區文昌東二街6號,,,04-22931283
三上牙醫診所,dentistry,臺北市大安區羅斯福路２段１０５號２樓,,,02-23696699
三上耳鼻喉科診所,otolaryngology,臺中市大里區瑞城里成功路４１９．４２１號,,,04-24953856
三井牙醫診所,dentistry,新北市林口區文化三路１段１８９號１、２樓,,,02-26001880
三代生物能牙醫診所,dentistry,臺北市中山區長春路１４２之１號（實際營業：一層、二層）,,,02-25318280
三信牙醫診所,dentistry,臺中市西屯區漢口路２段３０６號１樓,,,04-23125522
三元中醫診所,tcm_general,新北市中和區中興街２０２巷１６－１號１樓,,,02-22429808
三合中醫診所,tcm_general,臺北市北投區三合街２段４４６號,,,02-28983027
三合堂中醫診所,tcm_general,新北市土城區青雲路２７５號,,,02-22706078
三合牙醫診所,dentistry,臺中市烏日區中山路一段４２３號１樓、２樓(部分),,,04-23362054
三合牙醫診所,dentistry,臺中市西屯區何仁里重慶路２４１號,,,04-23142647
三合貴中醫診所,tcm_general,彰化縣員林市新義街３２６號１、２樓,,,04-8393326
三和中醫診所,tcm_general,新北市三重區三和路４段４０２號,,,02-22870080
三和牙醫診所,dentistry,屏東縣屏東市公園路１９–３號,,,08-7320467
三和牙醫診所,dentistry,臺中市西區土庫里五權一街６５－１號,,,04-23729646
三和牙醫診所,dentistry,臺北市中山區四平街１６號１樓,,,02-25815658
三和診所,family_medicine,屏東縣瑪家鄉三和村(巷)１３號,,,08-7994327
三和診所,general_clinic,彰化縣二林鎮二溪路６段５４８號,,,04-8685775
三和診所,general_clinic,新北市三重區三和路２段１５８號,,,02-29753752
三和診所,family_medicine,臺中市西屯區甘肅路１段７８號１樓、８０號１樓,,,04-23157982
三和診所,general_clinic,高雄市梓官區民權路１４９號,,,07-6176316
三大中醫診所,tcm_general,新北市中和區景平路４５２號１樓,,,02-29479977
三大牙醫診所,dentistry,臺中市大甲區中山路一段一一四九號,,,04-26861010
三大診所,general_clinic,金門縣金湖鎮復興西路２號３樓,,,082-333995
三奇皮膚科診所,dermatology,臺南市永康區大橋里中華路６０８號,,,06-2014853
三好診所,general_surgery,高雄市鼓山區美術東六街２４６號１樓,,,07-5509118
三安牙醫診所,dentistry,高雄市三民區裕誠路１０３號一樓,,,07-3507570
三安診所,general_clinic,新北市土城區裕民路３７號１樓,,,02-22668144
三富牙醫診所,dentistry,新北市三重區正義北路１０號１、２樓,,,02-29824819
三峽大學眼科診所,ophthalmology,新北市三峽區復興路５號１、２樓、７號１樓,,,02-26736797
三峽文化內科診所,internal_medicine,新北市三峽區文化路１２７、１２９、１３１號（１樓）,,,02-86719555
三德中醫診所,tcm_general,新北市新莊區復興路２段４１號１樓至４３號１樓,,,02-29983550
三德牙醫診所,dentistry,臺北市大同區承德路３段１００號,,,02-25963497
三愛外科診所,general_surgery,高雄市苓雅區三多三路１１０號１－２樓,,,07-3345143
三愛牙醫診所,dentistry,新北市新莊區幸福路６０４號１樓,,,02-29946115
三愛牙醫診所,dentistry,臺中市西區向上路一段７９巷３４號１樓,,,04-23025777
三愛牙醫診所,dentistry,臺北市士林區天母東路６９巷１之１號１樓,,,02-28733372
三愛診所,family_medicine,臺南市永康區建國里復國路６２號１樓,,,06-3130970
三才中醫診所,tcm_general,彰化縣員林市林森路２６５號１樓,,,04-8338361
三明中醫診所,tcm_general,臺中市東勢區三民街７１號１樓,,,04-25881223
三易中醫診所,tcm_general,新北市淡水區學府路５１巷１弄２１號,,,02-26281786
三星堂中醫診所,tcm_general,宜蘭縣羅東鎮興東路１７６號,,,03-9563590
三普牙醫診所,dentistry,臺北市大安區安和路２段６９巷８號,,,02-27383398
三曜中醫診所,tcm_general,臺中市大里區東榮路６５５號１樓,,,04-24070203
三林牙醫診所,dentistry,臺中市西屯區大墩十八街７０號１樓,,,04-23280303
三樹金鶯診所,pediatrics,新北市樹林區學成路６００號１樓、２樓,,,02-26807101
三民嘉文泌尿科診所,general_clinic,高雄市三民區九如二路５１１號１樓,,,07-3222829
三民家庭醫學科診所,family_medicine,新北市三重區三民街８３號,,,02-29840686
三民張牙醫診所,dentistry,臺中市中區臺灣大道１段５４６號１樓,,,04-22183266
三民承德中醫診所,tcm_general,高雄市三民區大豐二路288號１樓,,,07-3873574
三民牙醫診所,dentistry,新北市中和區景新街３９９巷４號、６號１樓,,,02-29431056
三民牙醫診所,dentistry,新竹市東區復中里中央路２８８號,,,03-5310486
三民牙醫診所,dentistry,桃園市桃園區民光路８７號,,,03-3379333
三民牙醫診所,dentistry,臺中市大甲區三民路３９號,,,04-26860824
三民牙醫診所,dentistry,臺北市中正區汀州路２段３０號,,,02-23687108
三民眼科診所,ophthalmology,彰化縣彰化市長樂里三民路３３號,,,04-7234365
三民診所,general_clinic,桃園市復興區三民里十一鄰３４號,,,03-3825848
三泰診所,obstetrics_gynecology,臺中市西區向上路一段２６８號１樓,,,04-23015377
三湖診所,family_medicine,苗栗縣西湖鄉店仔街42號1樓,,,037-921218
三灣牙醫診所,dentistry,苗栗縣三灣鄉三灣村９鄰中正路１３５號１樓,,,037-833628
三灣診所,family_medicine,苗栗縣三灣鄉三灣村9鄰中正路91號,,,037-834233
三玉品恆復健科診所,rehabilitation,臺北市士林區天母東路５３號,,,02-28760666
三益診所,general_clinic,新北市汐止區仁愛路１８７號１樓,,,02-86915631
三福牙醫診所,dentistry,臺北市萬華區萬大路６３－１號,,,02-23368330
三福診所,general_clinic,彰化縣福興鄉三汴村彰水路３６８號,,,04-7681024
三福診所,general_clinic,新北市樹林區三福街５６巷７號１樓,,,02-86887839
三禮美學牙醫診所,prosthodontics,臺北市大安區仁愛路４段３４５巷４弄４７號２樓,,,02-27751303
三禾中醫診所,tcm_general,高雄市仁武區八德西路１６８９號１樓２樓,,,07-3836159
三禾復健科診所,rehabilitation,臺中市太平區育賢路２２１號１、２、３、４樓,,,04-23931599
三禾牙醫診所,dentistry,屏東縣瑪家鄉三和村１４鄰美園４６－３號,,,08-7991689
三禾診所,internal_medicine,新北市三峽區中華路１３之５號４樓,,,02-26735708
三稜中醫診所,tcm_general,臺北市信義區松山路４６５巷８號,,,02-27283288
三聖醫院,family_medicine,高雄市美濃區合和里合和路５６號及５８號，成功路１８２－２號,,,07-6818495
三船牙醫診所,dentistry,臺北市士林區天母東路１－２號４樓,,,02-28736170
三芝彭小兒科診所,pediatrics,新北市三芝區埔頭里中山路１段５９號１樓,,,02-26369622
三華診所,general_surgery,臺南市仁德區太子里太子路１４２號,,,06-2731826
三豐診所,internal_medicine,臺中市豐原區中正路５４３號５樓,,,04-25287379
三軍總醫院北投分院附設民眾診療服務處,general_clinic,臺北市北投區新民路６０號、中和街２５０號１至４樓,,,02-28959808
三軍總醫院基隆分院附設民眾診療服務處,pediatrics,基隆市中正區正榮街１００號，仁愛區孝二路３９號２樓,,,02-24633330
三軍總醫院松山分院附設民眾診療服務處,pediatrics,臺北市松山區健康路１３１號,,,02-27642151
三軍總醫院澎湖分院附設民眾診療服務處,pediatrics,澎湖縣馬公市前寮里９０號１－５樓,,,06-9211116
三軍總醫院附設民眾診療服務處,general_clinic,臺北市內湖區成功路２段３２５號,,,02-87923311
三進中醫診所,tcm_general,臺北市北投區光明路１３３之８號（１樓）,,,02-28275368
三里居中醫診所,tcm_general,高雄市三民區察哈爾二街３９號１樓,,,07-3238899
三重中興醫院,internal_medicine,新北市三重區中興北街２１號,,,02-29959680
三重博愛診所,otolaryngology,新北市三重區重新路３段２００號,,,02-29779981
三重又一春中醫診所,tcm_general,新北市三重區正義北路９３號１樓,,,02-22791995
三重台新診所,general_surgery,新北市三重區仁愛街７４１號,,,02-28570759
三重同仁堂中醫診所,tcm_general,新北市三重區忠孝路２段９９號１樓、２樓及９５號、９７號２樓,,,02-29857688
三重埔展新牙醫診所,dentistry,新北市三重區中正北路３５６號１樓,,,02-29825339
三重埔牙醫診所,dentistry,新北市三重區福德北路３３號,,,02-29755612
三重大學眼科診所,ophthalmology,新北市三重區重新路３段２８號、３０號１Ｆ、２Ｆ,,,02-29729873
三重天慕堂中醫診所,tcm_general,新北市三重區中正南路１６５號１樓及夾層,,,02-29789090
三重宥聖中醫診所,tcm_general,新北市三重區重新路２段１之６號１樓、２樓、３樓,,,02-29851789
三重建成中醫診所,tcm_general,新北市三重區三和路２段１５３號１樓,,,02-29764289
三重新好診所,orthopedics,新北市三重區仁義街１４７號、１４９號１樓,,,02-29711787
三重新欣牙醫診所,dentistry,新北市三重區車路頭街２２號,,,02-29880422
三重正義北好評診所,internal_medicine,新北市三重區正義北路２０３號１樓,,,02-29882608
三重祥安診所,general_clinic,新北市三重區三和路４段３７４號１、２樓,,,02-22808558
三重菩提中醫診所,tcm_general,新北市三重區重陽路４段１０號１樓,,,02-89857977
三重華泰診所,general_clinic,新北市三重區五華街１７６號１樓,,,02-28577688
三重蒔美牙醫診所,dentistry,新北市三重區五華街１９６號、１９８號１樓及夾層,,,02-28559465
三重養生堂中醫診所,tcm_general,新北市三重區龍門路２８號１樓、２８號之１（１樓）,,,02-89728566
三陽牙醫診所,dentistry,高雄市苓雅區正義路１６２號,,,07-7496478
三順耳鼻喉科診所,otolaryngology,雲林縣北港鎮公園路１８號,,,05-7820330
三鼎牙醫診所,dentistry,臺中市北屯區軍功路一段４０９號１樓及夾層,,,04-24379061
上上中醫診所,tcm_general,新竹縣新豐鄉建興路一段７４號１樓,,,03-5579399
上上牙醫診所,dentistry,嘉義縣太保市麻太路７９—２號,,,05-2380077
上上牙醫診所,dentistry,屏東縣屏東市豐田里民學路３６－３號,,,08-7238359
上上牙醫診所,dentistry,新竹市中山路４００號,,,03-5251383
上上牙醫診所,dentistry,臺中市豐原區府前街１８０號,,,04-25251313
上上牙醫診所,dentistry,臺北市大安區和平東路２段３１１巷１４號,,,02-27010199
上久中醫診所,tcm_general,基隆市仁愛區孝二路６５號１樓,,,02-24254088
上九牙醫診所,dentistry,花蓮縣壽豐鄉壽豐路１段１３２號,,,03-8653839
上京診所,internal_medicine,新北市新莊區中港路２８１號１、２樓,,,02-22773111
上仁美麗診所,internal_medicine,桃園市中壢區環中東路２２號１樓,,,03-2854956
上仁診所,general_clinic,高雄市三民區中華三路２８５號一樓,,,07-2155510
上仁達醫中醫診所,tcm_general,臺中市太平區中山路一段３２２巷１０９號１樓,,,04-23912360
上佑牙醫診所,dentistry,屏東縣恆春鎮城北里北門路３９巷６號,,,08-8882766
上健診所,family_medicine,高雄市鳳山區中崙四路１２號１Ｆ,,,07-7532687
上傑牙醫診所,dentistry,臺北市松山區八德路２段３８６號２樓－３,,,02-27765449
上允耳鼻喉科診所,ophthalmology,新北市中和區景平路１６０號,,,02-86686383
上允耳鼻喉科診所,otolaryngology,新竹市東區新莊里光復路一段３６０之１３號１－２樓,,,03-5777749
上典牙醫診所,dentistry,臺南市永康區民族路２３７號,,,06-2053895
上博牙醫診所,dentistry,新北市新莊區新泰路２７２號１－３樓,,,02-29901111
上博牙醫診所,dentistry,臺北市中山區興安街６７號（１樓）,,,02-25007007
上友兒童診所,pediatrics,新北市新莊區復興路１段１９９號１樓,,,02-29916099
上吉診所,internal_medicine,新北市土城區延吉街１２２號１、２樓,,,02-22703111
上和耳鼻喉科診所,otolaryngology,新北市新莊區中平里中和街１５０號,,,02-29907980
上品堂中醫診所,tcm_general,臺南市中西區青年路１２７號１樓,,,06-2257108
上品杏林牙醫診所,dentistry,桃園市中壢區民族路41號1至2樓,,,03-4937999
上品牙醫診所,dentistry,臺中市南屯區京展街２２５號,,,04-23812967
上品牙醫診所,dentistry,臺北市南港區忠孝東路５段８０１號２樓,,,02-27852123
上善中醫診所,tcm_general,臺南市永康區鹽行里新中街３０１、３０３號１樓,,,06-2533936
上大新復健科診所,rehabilitation,桃園市蘆竹區桃園街１２、１６、１８、２０、２２號,,,03-3225707
上大牙醫診所,dentistry,高雄市大社區中山路２４３．２４５號,,,07-3533477
上好復健科專科診所,rehabilitation,臺中市大里區成功路５２２號１、２樓,,,04-24966360
上好牙醫診所,dentistry,新北市樹林區樹新路３９號１樓,,,02-26868516
上好牙醫診所,dentistry,高雄市鳳山區五甲二路５３１號１-２樓,,,07-8211122
上好診所,internal_medicine,屏東縣潮州鎮四維路２４６號,,,08-7861900
上安中醫診所,tcm_general,彰化縣彰化市中山里中山路二段６３４、６３６號,,,04-7201366
上安牙醫診所,dentistry,新北市板橋區中正路３１７號,,,02-29699738
上安牙醫診所,dentistry,臺中市北屯區文心路４段９９７、９９９號１、２樓,,,04-22435715
上安牙醫診所,dentistry,臺南市東區泉北里東門路一段２１３號,,,06-2368679
上安診所,family_medicine,新北市蘆洲區長榮路３８１號１樓,,,02-22825101
上安診所,internal_medicine,臺中市大甲區孟春里臨江路４０–１號,,,04-26821377
上安診所,family_medicine,臺中市西屯區青海路２段３１３號１樓,,,04-27086880
上宏牙醫診所,dentistry,新北市三重區中華路６１、６３號１樓,,,02-29876122
上宏牙醫診所,dentistry,臺北市信義區信義路６段６８號,,,02-27265185
上尚診所,general_clinic,臺北市大安區忠孝東路４段２１６巷１９弄４號２樓,,,02-27117201
上尤耳鼻喉科診所,otolaryngology,桃園市八德區介壽路二段７７６號,,,03-3680988
上平診所,pediatrics,高雄市杉林區山仙路１３７號１樓,,,07-6773677
上德中醫診所,tcm_general,桃園市桃園區東山里成功路二段３０號,,,03-3371636
上德牙醫診所,dentistry,臺北市大安區臥龍街１５１巷７４號１樓,,,02-27339426
上德牙醫診所,dentistry,高雄市岡山區公園西路三段１６８號,,,07-6260111
上德親子診所,general_clinic,屏東縣春日鄉春日村春日路６８－１號,,,08-8781868
上恩牙醫診所,dentistry,雲林縣褒忠鄉中民村中正路７５巷１３之１號,,,05-6971250
上恩診所,general_clinic,南投縣魚池鄉魚池村魚池街３９２號,,,049-2897448
上恩診所,internal_medicine,臺南市南區金華路一段１６８號１樓,,,06-2613202
上惟牙科診所,dentistry,高雄市左營區博愛三路５０６號１．２樓,,,07-3430181
上慈牙醫診所,dentistry,新竹市東區民族路８４－２號,,,03-5355655
上慶牙醫診所,dentistry,臺中市北屯區中清路２段２９８號１樓,,,04-22926303
上成牙醫診所,dentistry,高雄市三民區十全二路１３５號,,,07-3232931
上承診所,internal_medicine,新北市土城區裕民路１４２號１、２樓,,,02-22638111
上承診所,family_medicine,高雄市鳳山區青年路一段３６７號１樓,,,07-7102666
上揚牙醫診所,dentistry,南投縣草屯鎮碧山南路４２號,,,049-2355697
上揚牙醫診所,dentistry,嘉義市東區吳鳳南路２１５號,,,05-2292546
上揚牙醫診所,dentistry,嘉義縣朴子市平和里平和路１１之８號,,,05-3702627
上揚牙醫診所,dentistry,新北市板橋區府中路７號,,,02-29692383
上揚牙醫診所,dentistry,桃園市中壢區元化路４９號,,,03-4255088
上文耳鼻喉科診所,otolaryngology,高雄市鳳山區五甲二路３２７號,,,07-7219442
上新牙醫診所,dentistry,桃園市八德區介壽路一段１００１號１樓,,,03-3665667
上明中醫聯合診所,tcm_general,新竹市東區仙水里６鄰光復路一段２８３號１樓,,,03-5679099
上明中醫聯合診所,tcm_general,新竹縣竹東鎮東林路七十七號,,,03-5961969
上明眼科診所,ophthalmology,嘉義縣竹崎鄉竹崎村中山路２１８號,,,05-2614693
上明眼科診所,ophthalmology,彰化縣彰化市彰南路二段２２２號,,,04-7325859
上明眼科診所,ophthalmology,新竹市東區南門里南門街２８號,,,03-5248758
上明眼科診所,ophthalmology,臺中市龍井區新東里新興路５３－５號１樓、２樓,,,04-26318356
上明眼科診所,ophthalmology,雲林縣斗南鎮明昌里大成路５號,,,05-5976771
上明眼科診所,ophthalmology,高雄市楠梓區後昌路８４３號１－５樓,,,07-3621131
上晴牙醫診所,dentistry,新北市蘆洲區民族路５號１樓,,,02-82838311
上晴診所,general_clinic,高雄市前鎮區瑞北路８８號１樓,,,07-7249449
上杉診所,internal_medicine,新竹縣竹北市光明六路東二段６０號１樓,,,03-6676806
上杉診所,internal_medicine,臺中市南屯區公益路二段６１２號１、２樓,,,04-22548606
上林外科眼科診所,general_surgery,彰化縣彰化市大竹里彰南路二段１１７號,,,04-7383177
上林牙醫診所,dentistry,嘉義市西區通運里林森西路５３０號,,,05-2255478
上林牙醫診所,dentistry,新北市永和區林森路１０１巷１０號１樓,,,02-29238636
上林牙醫診所,dentistry,桃園市蘆竹區南崁路２０３號,,,03-3528779
上林牙醫診所,dentistry,臺北市信義區崇德街４號,,,02-27328951
上林牙醫診所,dentistry,臺南市東區裕農里東寧路４２２號１、２樓,,,06-2145217
上林診所,family_medicine,臺東縣池上鄉福原村忠孝路８４號,,,089-864780
上格牙醫診所,dentistry,臺北市中山區長春路８９－４號１樓,,,02-25372047
上民牙科診所,dentistry,高雄市苓雅區四維二路１３１號,,,07-7265275
上水和春診所,general_clinic,臺南市南區新興里健康路２段９０號１、２號,,,06-2228820
上水透析診所,internal_medicine,新竹市東區關帝里武昌街５１號３、４、５樓,,,03-5251855
上海堂中醫診所,tcm_general,新北市永和區永貞路２１８號,,,02-22319589
上澄中醫診所,tcm_general,桃園市龍潭區中興路２３５號１樓,,,03-4708338
上澄牙醫診所,dentistry,新竹縣湖口鄉中正路一段２１０號２樓,,,03-5991595
上璽中醫診所,tcm_general,臺北市大安區信義路４段１號７樓之１,,,02-27013103
上盛牙醫診所,dentistry,屏東縣里港鄉里港路４１號１樓,,,08-7750956
上直診所,general_clinic,臺北市中山區北安路４５８巷４１弄４９號,,,02-85091776
上祐中醫診所,tcm_general,雲林縣斗六市民生南路１０７號,,,05-5329998
上禾中醫診所,tcm_general,彰化縣彰化市中山里中山路二段６４２號１樓,,,04-7286123
上禾牙醫診所,dentistry,新北市五股區成泰路３段５３３號１樓２樓,,,02-22951415
上禾牙醫診所,dentistry,新竹縣竹北市福興東路一段３１９號１樓,,,03-6585288
上禾診所,rehabilitation,高雄市鳳山區青年路二段１５２號１－２樓及１５４號１樓,,,07-7407666
上禾骨科診所,general_surgery,臺中市北區忠明路２４０號１樓至３樓,,,04-22086511
